1002,1,RagDollKungFu,0,0,2008-11-17,False,0.79,6.0,24.0,10.0,63.528176361312475,0-20000,0,0,2DFighter;MartialArts;Multiplayer;IntentionallyAwkwardControls;Indie;Physics;Singleplayer;Action;Fighting;2D,,Single-player;Multi-player,Indie,windows,45,English,56,56
1200,1,RedOrchestra:Ostfront41-45,0,44,2009-11-16,False,3.99,8.0,1054.0,188.0,80.78145605496691,200000-500000,781,240,WorldWarII;Action;FPS;Realistic;Multiplayer;Singleplayer;Shooter;War;Tactical;Military;Simulation;Historical;Team-Based;Classic;Strategy;Atmospheric;First-Person;Tanks;Survival,,Multi-player;SteamAchievements;ValveAnti-Cheatenabled,Action,windows;mac;linux,63,English;French;Russian,51,51
1250,1,KillingFloor,0,285,2013-07-09,False,19.99,9.0,34111.0,1363.0,94.18722636272464,2000000-5000000,1591,317,FPS;Zombies;Co-op;Survival;Horror;Action;Multiplayer;OnlineCo-Op;Gore;Shooter;Team-Based;First-Person;SurvivalHorror;Moddable;GreatSoundtrack;Class-Based;Singleplayer;Difficult;Comedy;Adventure,Russian;English;French;German;Italian;Spanish-Spain,Single-player;Multi-player;Co-op;Cross-PlatformMultiplayer;SteamAchievements;SteamTradingCards;SteamWorkshop;ValveAnti-Cheatenabled;Stats;Includesleveleditor,Action,windows;mac;linux,1579,English;French;German;Hungarian;Italian;Polish;Russian;Spanish-Spain,51,51
1256,2,KillingFloorOutbreakCharacterPack,0,0,2011-04-18,False,7.99,7.0,38.0,7.0,73.56568930926709,0-20000,0,0,Action,,Single-player;Multi-player;Co-op;DownloadableContent,Action,windows;mac;linux,1886;52349,English,51,51
1257,2,KillingFloor:NightfallCharacterPack,0,0,2010-07-19,False,7.99,8.0,48.0,6.0,77.24966125328037,0-20000,0,0,Action,,Single-player;Multi-player;Co-op;DownloadableContent,Action,windows;mac;linux,2318;52349,English,51,51
1300,1,SiNEpisodes:Emergence,0,0,2012-08-21,False,8.19,8.0,450.0,64.0,81.81726251691671,100000-200000,258,277,Action;FPS;Cyberpunk;Sci-fi;Classic;Shooter;Singleplayer;First-Person;Episodic;Short;OldSchool;Futuristic;Gore;GreatSoundtrack;Adventure,,Single-player;Stats,Action,windows,443649,English;French;Russian,56,56
1313,1,SiN:Gold,0,0,2005-10-12,False,8.19,8.0,170.0,29.0,78.23832591693154,50000-100000,69,102,Action;CultClassic;FPS;Shooter;Multiplayer;Horror;First-Person;Singleplayer;Violent;1990s;Classic;Retro;Cyberpunk,,Single-player;Multi-player;PvP;OnlinePvP;LANPvP,Action,windows,416313,English;French,56,56;56
1500,1,Darwinia,0,0,2006-03-14,False,8.19,6.0,477.0,145.0,72.8413616067702,50000-100000,126,44,Retro;Atmospheric;Strategy;RTS;Stylized;Singleplayer;StoryRich;Action;OldSchool;PixelGraphics;3D;Sci-fi;GodGame;Arcade;Abstract;Colorful;1980s;ArtificialIntelligence;Emotional;Combat,,Single-player;Fullcontrollersupport;SteamCloud;Includesleveleditor,Indie;Strategy,windows;mac;linux,54;14324;978;14002,English;French;German;Italian;Spanish-Spain,56,56
1510,1,Uplink,0,0,2009-05-14,False,9.99,8.0,1377.0,142.0,86.17204564379402,500000-1000000,341,93,Hacking;Indie;Strategy;Singleplayer;Cyberpunk;Simulation;GreatSoundtrack;Classic;Sci-fi;Real-TimewithPause;2D;Experimental;Atmospheric;StoryRich;Addictive;PermaDeath;Rogue-like;Puzzle;Programming;Text-Based,,Single-player,Indie;Strategy,windows;mac;linux,112;14002,English,56,56
1520,1,DEFCON,0,22,2009-07-24,False,8.19,8.0,2310.0,366.0,82.94723728439054,500000-1000000,144,38,Strategy;Indie;Wargame;ColdWar;Multiplayer;PsychologicalHorror;Simulation;Real-TimewithPause;Atmospheric;RTS;War;Diplomacy;2D;Tactical;GreatSoundtrack;Singleplayer;Horror;Dark;Addictive;Military,,Single-player;Multi-player,Indie;Strategy,windows;mac;linux,156;14325;14002,English;French;German;Italian;Spanish-Spain,56,56
1530,1,Multiwinia,0,12,2010-05-19,False,8.19,8.0,286.0,63.0,76.47059283375677,500000-1000000,21,21,Indie;RTS;Strategy;Multiplayer;Singleplayer;Retro,,Single-player;Multi-player;PvP;OnlinePvP;LANPvP;Co-op;OnlineCo-op;LANCo-op;SteamAchievements,Indie,windows;mac,1002;978;14002,English;French;German;Italian;Spanish-Spain,56,56
1600,1,DangerousWaters,0,0,2006-05-10,False,27.99,6.0,216.0,57.0,73.74600323398869,50000-100000,0,0,Strategy;NavalCombat;Simulation;Naval;Submarine;Multiplayer;Military;Singleplayer,,Single-player;Multi-player,Strategy,windows,58;602804;200,English,56,56
1610,1,SpaceEmpiresIVDeluxe,0,0,2020-03-18,False,9.99,8.0,162.0,30.0,77.32447592289147,50000-100000,242,253,Strategy;4X;Sci-fi;Space;Turn-BasedStrategy;Turn-Based;Singleplayer,,Single-player;Multi-player,Strategy,windows,57;287,English,56,56
1630,1,DisciplesII:RiseoftheElves,0,0,2005-07-14,False,6.99,8.0,768.0,140.0,80.13285714054474,50000-100000,685,554,Strategy;Turn-BasedStrategy;Classic;Turn-Based;Fantasy;DarkFantasy;Atmospheric;RPG;GreatSoundtrack,,Single-player;Multi-player;Co-op,Strategy,windows,6449,English,56,56
1640,1,DisciplesII:Gallean'sReturn,0,0,2006-08-23,False,6.99,8.0,817.0,196.0,76.83609065168817,50000-100000,1053,288,Turn-BasedStrategy;Strategy;Classic;Atmospheric;DarkFantasy;Turn-Based;Fantasy;RPG;Tactical;Gothic;Multiplayer;GreatSoundtrack;Isometric;Singleplayer,,Single-player;Multi-player;Co-op,Strategy,windows,6450,English,56,56
1670,1,IronWarriors:T-72TankCommand,0,0,2006-09-29,False,4.99,5.0,150.0,92.0,59.690262348061076,20000-50000,3,3,Simulation;Strategy;Tanks;Military;Singleplayer,,Single-player;Multi-player,Strategy,windows,104,English,56,56
1690,1,SpaceEmpiresV,0,0,2008-09-19,False,14.99,6.0,242.0,102.0,66.84470949644631,50000-100000,24,24,Strategy;4X;Space;Turn-Based;Sci-fi;Singleplayer;Turn-BasedStrategy;Multiplayer,,Single-player;Multi-player,Strategy,windows,170;287,English,56,56
1700,1,ArxFatalis,0,0,2006-02-07,False,4.99,8.0,1208.0,176.0,83.05807854876454,200000-500000,66,94,RPG;First-Person;Classic;Atmospheric;DarkFantasy;Fantasy;Singleplayer;ImmersiveSim;Underground;Adventure;Action;StoryRich;Exploration;Magic;DungeonCrawler;Horror;ActionRPG;Stealth;OpenWorld;InventoryManagement,,Single-player,RPG,windows,302,English;French;German;Italian;Russian;Spanish-Spain,76,76
1900,1,Earth2160,0,0,2006-02-07,False,4.99,5.0,429.0,193.0,66.23663053975231,500000-1000000,419,424,Base-Building;Space;RTS;Real-Time;ActionRPG;Strategy;Post-apocalyptic;Historical;Action;Simulation;PixelGraphics;Sci-fi;Atmospheric;Aliens;Futuristic;ResourceManagement;Co-op;Multiplayer;Singleplayer;TacticalRPG,Polish;English;French;German;Italian;Russian;Spanish-Spain,Single-player;Multi-player;Co-op;Cross-PlatformMultiplayer;SteamTradingCards,Strategy,windows;mac;linux,72,Czech;English;French;German;Italian;Polish;Russian;Spanish-Spain,56;56,56
1930,1,TwoWorldsEpicEdition,0,0,2006-07-06,False,9.99,6.0,1605.0,507.0,73.40023469323256,1000000-2000000,416,416,RPG;OpenWorld;Fantasy;ThirdPerson;Singleplayer;Adventure;Multiplayer;Action;Medieval;ActionRPG;StoryRich;CharacterCustomization;DarkFantasy;Magic;HackandSlash;Co-op;Exploration;Classic,,Single-player;Multi-player;PvP;OnlinePvP;Co-op;OnlineCo-op;Cross-PlatformMultiplayer;SteamTradingCards;PartialControllerSupport,RPG,windows;mac;linux,1589;18163,Czech;English;French;German;Italian;Polish;Russian;Spanish-Spain,56,56
2100,1,DarkMessiahofMight&Magic,0,0,2006-07-06,False,4.99,8.0,5556.0,561.0,87.87025312729048,1000000-2000000,287,147,RPG;First-Person;Action;Fantasy;Swordplay;DarkFantasy;Adventure;Magic;Classic;Singleplayer;Stealth;MultipleEndings;StoryRich;Medieval;ActionRPG;Atmospheric;Gore;HackandSlash;Multiplayer;ImmersiveSim,,Single-player;Multi-player;ValveAnti-Cheatenabled,Action;RPG,windows,168,English;French;German;Italian;Spanish-Spain,73,76
2200,1,QuakeIIIArena,0,0,2006-07-06,False,14.99,9.0,2291.0,108.0,91.12845545999161,500000-1000000,118,77,FPS;Action;ArenaShooter;Classic;Multiplayer;Shooter;Competitive;1990s;First-Person;Gore;Fast-Paced;Difficult;Singleplayer;Sci-fi;Moddable;OldSchool;e-sports;Atmospheric;Retro;Co-op,,Single-player;Multi-player;SteamCloud,Action,windows,433,English,39,39
2210,1,Quake4,18,0,2006-07-26,False,14.99,8.0,1577.0,234.0,83.20349332271992,200000-500000,98,171,FPS;Action;Shooter;Sci-fi;Horror;Singleplayer;Classic;Multiplayer;Gore;First-Person;Fast-Paced;Dark;Atmospheric;ArenaShooter;Adventure;Aliens;Moddable,,Single-player;Multi-player;SteamCloud,Action,windows,11033,English,4,39
2270,1,Wolfenstein3D,0,0,2006-10-16,False,4.99,8.0,2331.0,149.0,89.808928500374,200000-500000,39,29,FPS;Classic;Action;Retro;WorldWarII;1990s;Singleplayer;OldSchool;First-Person;Shooter;PixelGraphics;Moddable;2.5D;CultClassic;Difficult;War;Gore;GreatSoundtrack;Adventure;Funny,,Single-player;SteamCloud,Action,windows,416;418,English,4,39
2280,1,UltimateDoom,0,0,2007-04-03,False,4.99,9.0,9977.0,373.0,93.52633481815651,1000000-2000000,104,42,FPS;Classic;Action;1990s;GreatSoundtrack;Retro;Demons;OldSchool;Shooter;Singleplayer;Gore;Moddable;First-Person;Fast-Paced;Sci-fi;Violent;Multiplayer;2.5D;Difficult;Horror,,Single-player;Multi-player;PvP;Shared/SplitScreenPvP;Co-op;Shared/SplitScreenCo-op;Shared/SplitScreen;Fullcontrollersupport;SteamCloud;RemotePlayTogether,Action,windows,419;18397,English;French;German;Italian;Spanish-Spain,39,39
2290,1,FinalDOOM,0,0,2006-04-01,False,4.99,8.0,833.0,148.0,80.52525630587375,500000-1000000,15,20,FPS;Action;Classic;Retro;Shooter;Singleplayer;1990s;First-Person;Moddable;Sci-fi;Difficult;Gore;GreatSoundtrack;Multiplayer;OldSchool;Demons;Zombies;Horror;Atmospheric;PixelGraphics,,Single-player;SteamCloud,Action,windows,421;18397,English,39,39
